Domain Name,Domain Type,Agency,Organization Name,City,State,Security Contact Email,modification,Suborganization Name,commit_datetime,commit_date
odci.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,,2026-01-10 06:12:23+00:00,1768025543
odci.gov,Federal - Executive,,Central Intelligence Agency*,Washington,DC,(blank),changed_new,,2026-01-10 06:12:23+00:00,1768025543
opensource.gov,Federal - Executive,Central Intelligence Agency,DNI Open Source Center,Washington,DC,(blank),changed_old,,2026-01-10 06:12:23+00:00,1768025543
opensource.gov,Federal - Executive,,Central Intelligence Agency*,Washington,DC,(blank),changed_new,,2026-01-10 06:12:23+00:00,1768025543
osde.gov,Federal - Executive,Central Intelligence Agency,CIA\GCS OSEG,Reston,VA,(blank),changed_old,,2026-01-10 06:12:23+00:00,1768025543
osde.gov,Federal - Executive,,Central Intelligence Agency*,Reston,VA,(blank),changed_new,,2026-01-10 06:12:23+00:00,1768025543
ucia.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,,2026-01-10 06:12:23+00:00,1768025543
ucia.gov,Federal - Executive,,Central Intelligence Agency*,Washington,DC,(blank),changed_new,,2026-01-10 06:12:23+00:00,1768025543
coldcaserecords.gov,Federal - Executive,Civil Rights Cold Case Records Review Board,Civil Rights Cold Case Records Review Board,Washington,DC,gsa-vulnerability-reports@gsa.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
coldcaserecords.gov,Federal - Executive,,Civil Rights Cold Case Records Review Board,Washington,DC,gsa-vulnerability-reports@gsa.gov,changed_new,Civil Rights Cold Case Records Review Board,2026-01-10 06:12:23+00:00,1768025543
cftc.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
cftc.gov,Federal - Executive,,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov,changed_new,,2026-01-10 06:12:23+00:00,1768025543
devcftc.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,esoc@cftc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
devcftc.gov,Federal - Executive,,Commodity Futures Trading Commission,Washington,DC,esoc@cftc.gov,changed_new,,2026-01-10 06:12:23+00:00,1768025543
smartcheck.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
smartcheck.gov,Federal - Executive,,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov,changed_new,,2026-01-10 06:12:23+00:00,1768025543
whistleblower.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
whistleblower.gov,Federal - Executive,,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov,changed_new,,2026-01-10 06:12:23+00:00,1768025543
bcfp.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
bcfp.gov,Federal - Executive,,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2026-01-10 06:12:23+00:00,1768025543
cfpa.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
cfpa.gov,Federal - Executive,,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2026-01-10 06:12:23+00:00,1768025543
cfpb.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
cfpb.gov,Federal - Executive,,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2026-01-10 06:12:23+00:00,1768025543
consumerbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
consumerbureau.gov,Federal - Executive,,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2026-01-10 06:12:23+00:00,1768025543
consumerfinance.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
consumerfinance.gov,Federal - Executive,,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2026-01-10 06:12:23+00:00,1768025543
consumerfinancialbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
consumerfinancialbureau.gov,Federal - Executive,,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2026-01-10 06:12:23+00:00,1768025543
consumerfinancial.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
consumerfinancial.gov,Federal - Executive,,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2026-01-10 06:12:23+00:00,1768025543
consumerfinancialprotectionbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
consumerfinancialprotectionbureau.gov,Federal - Executive,,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2026-01-10 06:12:23+00:00,1768025543
consumerprotectionbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
consumerprotectionbureau.gov,Federal - Executive,,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2026-01-10 06:12:23+00:00,1768025543
consumerprotection.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
consumerprotection.gov,Federal - Executive,,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2026-01-10 06:12:23+00:00,1768025543
mimm.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
mimm.gov,Federal - Executive,,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2026-01-10 06:12:23+00:00,1768025543
anchorit.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
anchorit.gov,Federal - Executive,,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2026-01-10 06:12:23+00:00,1768025543
atvsafety.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
atvsafety.gov,Federal - Executive,,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2026-01-10 06:12:23+00:00,1768025543
cpsc.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
cpsc.gov,Federal - Executive,,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2026-01-10 06:12:23+00:00,1768025543
drywallresponse.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
drywallresponse.gov,Federal - Executive,,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2026-01-10 06:12:23+00:00,1768025543
poolsafely.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
poolsafely.gov,Federal - Executive,,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2026-01-10 06:12:23+00:00,1768025543
poolsafety.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
poolsafety.gov,Federal - Executive,,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2026-01-10 06:12:23+00:00,1768025543
recalls.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
recalls.gov,Federal - Executive,,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2026-01-10 06:12:23+00:00,1768025543
saferproduct.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
saferproduct.gov,Federal - Executive,,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2026-01-10 06:12:23+00:00,1768025543
saferproducts.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
saferproducts.gov,Federal - Executive,,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2026-01-10 06:12:23+00:00,1768025543
seguridadconsumidor.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
seguridadconsumidor.gov,Federal - Executive,,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2026-01-10 06:12:23+00:00,1768025543
americorps.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
americorps.gov,Federal - Executive,,Corporation for National and Community Service,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2026-01-10 06:12:23+00:00,1768025543
americorpsoig.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps Office of Inspector General,Washington,DC,IT@americorpsoig.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
americorpsoig.gov,Federal - Executive,,Corporation for National and Community Service,Washington,DC,IT@americorpsoig.gov,changed_new,AmeriCorps Office of Inspector General,2026-01-10 06:12:23+00:00,1768025543
cncs.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
cncs.gov,Federal - Executive,,Corporation for National and Community Service,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2026-01-10 06:12:23+00:00,1768025543
cncsoig.gov,Federal - Executive,Corporation for National and Community Service,"Corporation for National and Community Service, Office Of Inspector General,",Washington,DC,IT@cncsoig.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
cncsoig.gov,Federal - Executive,,Corporation for National and Community Service,Washington,DC,IT@cncsoig.gov,changed_new,"Corporation for National and Community Service, Office Of Inspector General,",2026-01-10 06:12:23+00:00,1768025543
cns.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
cns.gov,Federal - Executive,,Corporation for National and Community Service,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2026-01-10 06:12:23+00:00,1768025543
joinamericorps.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
joinamericorps.gov,Federal - Executive,,Corporation for National and Community Service,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2026-01-10 06:12:23+00:00,1768025543
mentor.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
mentor.gov,Federal - Executive,,Corporation for National and Community Service,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2026-01-10 06:12:23+00:00,1768025543
mlkday.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
mlkday.gov,Federal - Executive,,Corporation for National and Community Service,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2026-01-10 06:12:23+00:00,1768025543
nationalservice.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
nationalservice.gov,Federal - Executive,,Corporation for National and Community Service,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2026-01-10 06:12:23+00:00,1768025543
presidentialserviceawards.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
presidentialserviceawards.gov,Federal - Executive,,Corporation for National and Community Service,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2026-01-10 06:12:23+00:00,1768025543
serve.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
serve.gov,Federal - Executive,,Corporation for National and Community Service,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2026-01-10 06:12:23+00:00,1768025543
vistacampus.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
vistacampus.gov,Federal - Executive,,Corporation for National and Community Service,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2026-01-10 06:12:23+00:00,1768025543
volunteeringinamerica.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
volunteeringinamerica.gov,Federal - Executive,,Corporation for National and Community Service,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2026-01-10 06:12:23+00:00,1768025543
cigie.gov,Federal - Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
cigie.gov,Federal - Executive,,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,changed_new,Council of the Inspectors General on Integrity and Efficiency,2026-01-10 06:12:23+00:00,1768025543
ignet.gov,Federal - Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
ignet.gov,Federal - Executive,,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,changed_new,Council of the Inspectors General on Integrity and Efficiency,2026-01-10 06:12:23+00:00,1768025543
oversight.gov,Federal - Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
oversight.gov,Federal - Executive,,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,changed_new,Council of the Inspectors General on Integrity and Efficiency,2026-01-10 06:12:23+00:00,1768025543
pandemicoversight.gov,Federal - Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
pandemicoversight.gov,Federal - Executive,,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,changed_new,Council of the Inspectors General on Integrity and Efficiency,2026-01-10 06:12:23+00:00,1768025543
csosa.gov,Federal - Executive,Court Services and Offender Supervision Agency,Office of information Technology,Washington,DC,Soc@csosa.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
csosa.gov,Federal - Executive,,Court Services and Offender Supervision Agency,Washington,DC,Soc@csosa.gov,changed_new,Office of information Technology,2026-01-10 06:12:23+00:00,1768025543
pretrialservices.gov,Federal - Executive,Court Services and Offender Supervision Agency,Pretrial Services Agency for the District of Columbia,Washington,DC,PSAITSecurity@csosa.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
pretrialservices.gov,Federal - Executive,,Court Services and Offender Supervision Agency,Washington,DC,PSAITSecurity@csosa.gov,changed_new,Pretrial Services Agency for the District of Columbia,2026-01-10 06:12:23+00:00,1768025543
psa.gov,Federal - Executive,Court Services and Offender Supervision Agency,Court Services and Offender Supervision Agency,Washington,DC,PSAITSecurity@PSA.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
psa.gov,Federal - Executive,,Court Services and Offender Supervision Agency,Washington,DC,PSAITSecurity@PSA.gov,changed_new,Court Services and Offender Supervision Agency,2026-01-10 06:12:23+00:00,1768025543
dnfsb.gov,Federal - Executive,Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,Washington,DC,cyberalerts@dnfsb.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
dnfsb.gov,Federal - Executive,,Defense Nuclear Facilities Safety Board,Washington,DC,cyberalerts@dnfsb.gov,changed_new,Defense Nuclear Facilities Safety Board,2026-01-10 06:12:23+00:00,1768025543
dra.gov,Federal - Executive,Delta Regional Authority,Delta Regional Authority,Clarksdale,MS,(blank),changed_old,,2026-01-10 06:12:23+00:00,1768025543
dra.gov,Federal - Executive,,Delta Regional Authority,Clarksdale,MS,(blank),changed_new,Delta Regional Authority,2026-01-10 06:12:23+00:00,1768025543
denali.gov,Federal - Executive,Denali Commission,Denali Commission,Anchorage,AK,jherrick@denali.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
denali.gov,Federal - Executive,,Denali Commission,Anchorage,AK,jherrick@denali.gov,changed_new,Denali Commission,2026-01-10 06:12:23+00:00,1768025543
aiexports.gov,Federal - Executive,Department of Commerce,Department of Commerce,Washington,DC,(blank),changed_old,,2026-01-10 06:12:23+00:00,1768025543
aiexports.gov,Federal - Executive,,Department of Commerce,Washington,DC,(blank),changed_new,,2026-01-10 06:12:23+00:00,1768025543
ap.gov,Federal - Executive,Department of Commerce,TCD / BIS / Dept of Commerce,Washington,DC,BIS.CIRT@bis.doc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
ap.gov,Federal - Executive,,Department of Commerce,Washington,DC,BIS.CIRT@bis.doc.gov,changed_new,Bureau of Industry and Security,2026-01-10 06:12:23+00:00,1768025543
aviationweather.gov,Federal - Executive,Department of Commerce,National Weather Service,Silver Spring,MD,security@noaa.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
aviationweather.gov,Federal - Executive,,Department of Commerce,Silver Spring,MD,security@noaa.gov,changed_new,National Oceanic and Atmospheric Administration,2026-01-10 06:12:23+00:00,1768025543
bea.gov,Federal - Executive,Department of Commerce,Bureau of Economic Analysis,Suitland,MD,bea-cirt@bea.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
bea.gov,Federal - Executive,,Department of Commerce,Suitland,MD,bea-cirt@bea.gov,changed_new,Bureau of Economic Analysis,2026-01-10 06:12:23+00:00,1768025543
bis.gov,Federal - Executive,Department of Commerce,Bureau of Industry and Security,Washington,DC,BIS.CIRT@bis.doc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
bis.gov,Federal - Executive,,Department of Commerce,Washington,DC,BIS.CIRT@bis.doc.gov,changed_new,Bureau of Industry and Security,2026-01-10 06:12:23+00:00,1768025543
bldrdoc.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Boulder,CO,siirt@nist.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
bldrdoc.gov,Federal - Executive,,Department of Commerce,Boulder,CO,siirt@nist.gov,changed_new,National Institute of Standards and Technology,2026-01-10 06:12:23+00:00,1768025543
census.gov,Federal - Executive,Department of Commerce,Census Bureau,Suitland,MD,boc.cirt@census.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
census.gov,Federal - Executive,,Department of Commerce,Suitland,MD,boc.cirt@census.gov,changed_new,Census Bureau,2026-01-10 06:12:23+00:00,1768025543
chips.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
chips.gov,Federal - Executive,,Department of Commerce,Gaithersburg,MD,siirt@nist.gov,changed_new,National Institute of Standards and Technology,2026-01-10 06:12:23+00:00,1768025543
climate.gov,Federal - Executive,Department of Commerce,NWS/OPS33,Silver Spring,MD,security@noaa.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
climate.gov,Federal - Executive,,Department of Commerce,Silver Spring,MD,security@noaa.gov,changed_new,National Oceanic and Atmospheric Administration,2026-01-10 06:12:23+00:00,1768025543
commerce.gov,Federal - Executive,Department of Commerce,Department of Commerce,Washington,DC,esoc@doc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
commerce.gov,Federal - Executive,,Department of Commerce,Washington,DC,esoc@doc.gov,changed_new,,2026-01-10 06:12:23+00:00,1768025543
cwc.gov,Federal - Executive,Department of Commerce,Bureau of Industry and Security,Washington,DC,BIS.CIRT@bis.doc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
cwc.gov,Federal - Executive,,Department of Commerce,Washington,DC,BIS.CIRT@bis.doc.gov,changed_new,Bureau of Industry and Security,2026-01-10 06:12:23+00:00,1768025543
dataprivacyframework.gov,Federal - Executive,Department of Commerce,International Trade Administration,Washington DC,DC,chuck.hicks@trade.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
dataprivacyframework.gov,Federal - Executive,,Department of Commerce,Washington,DC,chuck.hicks@trade.gov,changed_new,International Trade Administration,2026-01-10 06:12:23+00:00,1768025543
dnsops.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,antd-siirt@nist.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
dnsops.gov,Federal - Executive,,Department of Commerce,Gaithersburg,MD,antd-siirt@nist.gov,changed_new,National Institute of Standards and Technology,2026-01-10 06:12:23+00:00,1768025543
doc.gov,Federal - Executive,Department of Commerce,Office of the Chief Information Officer,Washington,DC,esoc@doc.gov,changed_old,,2026-01-10 06:12:23+00:00,1768025543
doc.gov,Federal - Executive,,Department of Commerce,Washington,DC,esoc@doc.gov,changed_new,,2026-01-10 06:12:23+00:00,1768025543
