Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email,modification,Organization Name,commit_datetime,commit_date
istac.gov,Federal - Executive,Central Intelligence Agency,,Washington,DC,(blank),changed_new,Central Intelligence Agency,2024-01-30 22:46:26+00:00,1706654786
odci.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,,2024-01-30 22:46:26+00:00,1706654786
odci.gov,Federal - Executive,Central Intelligence Agency,,Washington,DC,(blank),changed_new,Central Intelligence Agency,2024-01-30 22:46:26+00:00,1706654786
opensource.gov,Federal - Executive,Central Intelligence Agency,DNI Open Source Center,Washington,DC,(blank),changed_old,,2024-01-30 22:46:26+00:00,1706654786
opensource.gov,Federal - Executive,Central Intelligence Agency,,Washington,DC,(blank),changed_new,DNI Open Source Center,2024-01-30 22:46:26+00:00,1706654786
osde.gov,Federal - Executive,Central Intelligence Agency,CIA\GCS OSEG,Reston,VA,(blank),changed_old,,2024-01-30 22:46:26+00:00,1706654786
osde.gov,Federal - Executive,Central Intelligence Agency,,Reston,VA,(blank),changed_new,CIA\GCS OSEG,2024-01-30 22:46:26+00:00,1706654786
ucia.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,,2024-01-30 22:46:26+00:00,1706654786
ucia.gov,Federal - Executive,Central Intelligence Agency,,Washington,DC,(blank),changed_new,Central Intelligence Agency,2024-01-30 22:46:26+00:00,1706654786
csb.gov,Federal - Executive,Chemical Safety Board,U.S. Chemical Safety and Hazard Investigation Board,Washington,DC,andrew.staddon@csb.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
csb.gov,Federal - Executive,Chemical Safety Board,,Washington,DC,andrew.staddon@csb.gov,changed_new,U.S. Chemical Safety and Hazard Investigation Board,2024-01-30 22:46:26+00:00,1706654786
safetyvideos.gov,Federal - Executive,Chemical Safety Board,U.S. Chemical Safety and Hazard Investigation Board,Washington,DC,andrew.staddon@csb.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
safetyvideos.gov,Federal - Executive,Chemical Safety Board,,Washington,DC,andrew.staddon@csb.gov,changed_new,U.S. Chemical Safety and Hazard Investigation Board,2024-01-30 22:46:26+00:00,1706654786
coldcaserecords.gov,Federal - Executive,Civil Rights Cold Case Records Review Board,Civil Rights Cold Case Records Review Board,Washington,DC,gsa-vulnerability-reports@gsa.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
coldcaserecords.gov,Federal - Executive,Civil Rights Cold Case Records Review Board,,Washington,DC,gsa-vulnerability-reports@gsa.gov,changed_new,Civil Rights Cold Case Records Review Board,2024-01-30 22:46:26+00:00,1706654786
cftc.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
cftc.gov,Federal - Executive,Commodity Futures Trading Commission,,Washington,DC,Security_VDP@cftc.gov,changed_new,Commodity Futures Trading Commission,2024-01-30 22:46:26+00:00,1706654786
devcftc.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,esoc@cftc.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
devcftc.gov,Federal - Executive,Commodity Futures Trading Commission,,Washington,DC,esoc@cftc.gov,changed_new,Commodity Futures Trading Commission,2024-01-30 22:46:26+00:00,1706654786
smartcheck.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
smartcheck.gov,Federal - Executive,Commodity Futures Trading Commission,,Washington,DC,Security_VDP@cftc.gov,changed_new,Commodity Futures Trading Commission,2024-01-30 22:46:26+00:00,1706654786
whistleblower.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
whistleblower.gov,Federal - Executive,Commodity Futures Trading Commission,,Washington,DC,Security_VDP@cftc.gov,changed_new,Commodity Futures Trading Commission,2024-01-30 22:46:26+00:00,1706654786
bcfp.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
bcfp.gov,Federal - Executive,Consumer Financial Protection Bureau,,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2024-01-30 22:46:26+00:00,1706654786
cfpa.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
cfpa.gov,Federal - Executive,Consumer Financial Protection Bureau,,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2024-01-30 22:46:26+00:00,1706654786
cfpb.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
cfpb.gov,Federal - Executive,Consumer Financial Protection Bureau,,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2024-01-30 22:46:26+00:00,1706654786
consumerbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
consumerbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2024-01-30 22:46:26+00:00,1706654786
consumerfinance.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
consumerfinance.gov,Federal - Executive,Consumer Financial Protection Bureau,,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2024-01-30 22:46:26+00:00,1706654786
consumerfinancialbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
consumerfinancialbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2024-01-30 22:46:26+00:00,1706654786
consumerfinancial.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
consumerfinancial.gov,Federal - Executive,Consumer Financial Protection Bureau,,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2024-01-30 22:46:26+00:00,1706654786
consumerfinancialprotectionbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
consumerfinancialprotectionbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2024-01-30 22:46:26+00:00,1706654786
consumerprotectionbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
consumerprotectionbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2024-01-30 22:46:26+00:00,1706654786
consumerprotection.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
consumerprotection.gov,Federal - Executive,Consumer Financial Protection Bureau,,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2024-01-30 22:46:26+00:00,1706654786
mimm.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
mimm.gov,Federal - Executive,Consumer Financial Protection Bureau,,Washington,DC,security@cfpb.gov,changed_new,Consumer Financial Protection Bureau,2024-01-30 22:46:26+00:00,1706654786
anchorit.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
anchorit.gov,Federal - Executive,Consumer Product Safety Commission,,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2024-01-30 22:46:26+00:00,1706654786
atvsafety.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
atvsafety.gov,Federal - Executive,Consumer Product Safety Commission,,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2024-01-30 22:46:26+00:00,1706654786
cpsc.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
cpsc.gov,Federal - Executive,Consumer Product Safety Commission,,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2024-01-30 22:46:26+00:00,1706654786
drywallresponse.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
drywallresponse.gov,Federal - Executive,Consumer Product Safety Commission,,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2024-01-30 22:46:26+00:00,1706654786
poolsafely.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
poolsafely.gov,Federal - Executive,Consumer Product Safety Commission,,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2024-01-30 22:46:26+00:00,1706654786
poolsafety.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
poolsafety.gov,Federal - Executive,Consumer Product Safety Commission,,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2024-01-30 22:46:26+00:00,1706654786
recalls.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
recalls.gov,Federal - Executive,Consumer Product Safety Commission,,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2024-01-30 22:46:26+00:00,1706654786
saferproduct.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
saferproduct.gov,Federal - Executive,Consumer Product Safety Commission,,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2024-01-30 22:46:26+00:00,1706654786
saferproducts.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
saferproducts.gov,Federal - Executive,Consumer Product Safety Commission,,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2024-01-30 22:46:26+00:00,1706654786
seguridadconsumidor.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
seguridadconsumidor.gov,Federal - Executive,Consumer Product Safety Commission,,Bethesda,MD,csirt@cpsc.gov,changed_new,Consumer Product Safety Commission,2024-01-30 22:46:26+00:00,1706654786
acc.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,unsafe@cns.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
acc.gov,Federal - Executive,Corporation for National & Community Service,,Washington,DC,unsafe@cns.gov,changed_new,AmeriCorps,2024-01-30 22:46:26+00:00,1706654786
americanclimatecorps.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,WASHINGTON,DC,unsafe@cns.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
americanclimatecorps.gov,Federal - Executive,Corporation for National & Community Service,,WASHINGTON,DC,unsafe@cns.gov,changed_new,AmeriCorps,2024-01-30 22:46:26+00:00,1706654786
americorps.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
americorps.gov,Federal - Executive,Corporation for National & Community Service,,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2024-01-30 22:46:26+00:00,1706654786
americorpsoig.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps Office of Inspector General,Washington,DC,IT@cncsoig.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
americorpsoig.gov,Federal - Executive,Corporation for National & Community Service,,Washington,DC,IT@cncsoig.gov,changed_new,AmeriCorps Office of Inspector General,2024-01-30 22:46:26+00:00,1706654786
ccc.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,unsafe@cns.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
ccc.gov,Federal - Executive,Corporation for National & Community Service,,Washington,DC,unsafe@cns.gov,changed_new,AmeriCorps,2024-01-30 22:46:26+00:00,1706654786
cncs.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
cncs.gov,Federal - Executive,Corporation for National & Community Service,,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2024-01-30 22:46:26+00:00,1706654786
cncsoig.gov,Federal - Executive,Corporation for National & Community Service,"Corporation for National and Community Service, Office Of Inspector General,",Washington,DC,IT@cncsoig.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
cncsoig.gov,Federal - Executive,Corporation for National & Community Service,,Washington,DC,IT@cncsoig.gov,changed_new,"Corporation for National and Community Service, Office Of Inspector General,",2024-01-30 22:46:26+00:00,1706654786
cns.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
cns.gov,Federal - Executive,Corporation for National & Community Service,,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2024-01-30 22:46:26+00:00,1706654786
joinamericorps.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
joinamericorps.gov,Federal - Executive,Corporation for National & Community Service,,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2024-01-30 22:46:26+00:00,1706654786
mentor.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
mentor.gov,Federal - Executive,Corporation for National & Community Service,,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2024-01-30 22:46:26+00:00,1706654786
mlkday.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
mlkday.gov,Federal - Executive,Corporation for National & Community Service,,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2024-01-30 22:46:26+00:00,1706654786
nationalservice.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
nationalservice.gov,Federal - Executive,Corporation for National & Community Service,,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2024-01-30 22:46:26+00:00,1706654786
presidentialserviceawards.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
presidentialserviceawards.gov,Federal - Executive,Corporation for National & Community Service,,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2024-01-30 22:46:26+00:00,1706654786
serve.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
serve.gov,Federal - Executive,Corporation for National & Community Service,,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2024-01-30 22:46:26+00:00,1706654786
vistacampus.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
vistacampus.gov,Federal - Executive,Corporation for National & Community Service,,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2024-01-30 22:46:26+00:00,1706654786
volunteeringinamerica.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
volunteeringinamerica.gov,Federal - Executive,Corporation for National & Community Service,,Washington,DC,Unsafe@cns.gov,changed_new,AmeriCorps,2024-01-30 22:46:26+00:00,1706654786
cigie.gov,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
cigie.gov,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,,Washington,DC,security@cigie.gov,changed_new,Council of the Inspectors General on Integrity and Efficiency,2024-01-30 22:46:26+00:00,1706654786
ignet.gov,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
ignet.gov,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,,Washington,DC,security@cigie.gov,changed_new,Council of the Inspectors General on Integrity and Efficiency,2024-01-30 22:46:26+00:00,1706654786
oversight.gov,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
oversight.gov,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,,Washington,DC,security@cigie.gov,changed_new,Council of the Inspectors General on Integrity and Efficiency,2024-01-30 22:46:26+00:00,1706654786
pandemicoversight.gov,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
pandemicoversight.gov,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,,Washington,DC,security@cigie.gov,changed_new,Council of the Inspectors General on Integrity and Efficiency,2024-01-30 22:46:26+00:00,1706654786
csosa.gov,Federal - Executive,Court Services and Offender Supervision,Court Services and Offender Supervision Agency/Office of information Technology,Washington,DC,Soc@csosa.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
csosa.gov,Federal - Executive,Court Services and Offender Supervision,,Washington,DC,Soc@csosa.gov,changed_new,Court Services and Offender Supervision Agency/Office of information Technology,2024-01-30 22:46:26+00:00,1706654786
pretrialservices.gov,Federal - Executive,Court Services and Offender Supervision,Pretrial Services Agency for the District of Columbia,Washington,DC,PSAITSecurity@PSA.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
pretrialservices.gov,Federal - Executive,Court Services and Offender Supervision,,Washington,DC,PSAITSecurity@PSA.gov,changed_new,Pretrial Services Agency for the District of Columbia,2024-01-30 22:46:26+00:00,1706654786
psa.gov,Federal - Executive,Court Services and Offender Supervision,Court Services and Offender Supervision Agency,Washington,DC,PSAITSecurity@PSA.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
psa.gov,Federal - Executive,Court Services and Offender Supervision,,Washington,DC,PSAITSecurity@PSA.gov,changed_new,Court Services and Offender Supervision Agency,2024-01-30 22:46:26+00:00,1706654786
dnfsb.gov,Federal - Executive,Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,Washington,DC,cyberalerts@dnfsb.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
dnfsb.gov,Federal - Executive,Defense Nuclear Facilities Safety Board,,Washington,DC,cyberalerts@dnfsb.gov,changed_new,Defense Nuclear Facilities Safety Board,2024-01-30 22:46:26+00:00,1706654786
dra.gov,Federal - Executive,Delta Regional Authority,Delta Regional Authority,Clarksdale,MS,(blank),changed_old,,2024-01-30 22:46:26+00:00,1706654786
dra.gov,Federal - Executive,Delta Regional Authority,,Clarksdale,MS,(blank),changed_new,Delta Regional Authority,2024-01-30 22:46:26+00:00,1706654786
denali.gov,Federal - Executive,Denali Commission,Denali Commission,Anchorage,AK,jherrick@denali.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
denali.gov,Federal - Executive,Denali Commission,,Anchorage,AK,jherrick@denali.gov,changed_new,Denali Commission,2024-01-30 22:46:26+00:00,1706654786
2020census.gov,Federal - Executive,Department of Commerce,Census Bureau,Suitland,MD,boc.cirt@census.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
2020census.gov,Federal - Executive,Department of Commerce,,Suitland,MD,boc.cirt@census.gov,changed_new,Census Bureau,2024-01-30 22:46:26+00:00,1706654786
ap.gov,Federal - Executive,Department of Commerce,TCD / BIS / Dept of Commerce,Washington,DC,BIS.CIRT@bis.doc.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
ap.gov,Federal - Executive,Department of Commerce,,Washington,DC,BIS.CIRT@bis.doc.gov,changed_new,TCD / BIS / Dept of Commerce,2024-01-30 22:46:26+00:00,1706654786
aviationweather.gov,Federal - Executive,Department of Commerce,National Weather Service,Silver Spring,MD,security@noaa.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
aviationweather.gov,Federal - Executive,Department of Commerce,,Silver Spring,MD,security@noaa.gov,changed_new,National Weather Service,2024-01-30 22:46:26+00:00,1706654786
bea.gov,Federal - Executive,Department of Commerce,Bureau of Economic Analysis,Suitland,MD,bea-cirt@bea.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
bea.gov,Federal - Executive,Department of Commerce,,Suitland,MD,bea-cirt@bea.gov,changed_new,Bureau of Economic Analysis,2024-01-30 22:46:26+00:00,1706654786
bis.gov,Federal - Executive,Department of Commerce,Bureau of Industry and Security,Washington,DC,BIS.CIRT@bis.doc.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
bis.gov,Federal - Executive,Department of Commerce,,Washington,DC,BIS.CIRT@bis.doc.gov,changed_new,Bureau of Industry and Security,2024-01-30 22:46:26+00:00,1706654786
bldrdoc.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Boulder,CO,siirt@nist.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
bldrdoc.gov,Federal - Executive,Department of Commerce,,Boulder,CO,siirt@nist.gov,changed_new,National Institute of Standards and Technology,2024-01-30 22:46:26+00:00,1706654786
buyusa.gov,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
buyusa.gov,Federal - Executive,Department of Commerce,,Washington,DC,OpSec@trade.gov,changed_new,International Trade Administration,2024-01-30 22:46:26+00:00,1706654786
census.gov,Federal - Executive,Department of Commerce,Census Bureau,Suitland,MD,boc.cirt@census.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
census.gov,Federal - Executive,Department of Commerce,,Suitland,MD,boc.cirt@census.gov,changed_new,Census Bureau,2024-01-30 22:46:26+00:00,1706654786
